map,seed,condition,method,loop_id,loop_vertex,selection_order,selection_timestamp,planned_source,planned,executed,execution_finished,target_attributable,temporally_associated,execution_policy,active_loop_distance_m,active_loop_time_s,actual_generated_repair_length_m,actual_executed_repair_length_m,early_stopped,avoided_nominal_repair_path_length_lower_bound_m,run_dir
map8,21003,C,Selective,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,19.411141888565705,48.0,,0.0,False,,results/phase4c/formal/map8/seed_21003/C_selective/attempt_01
map8,21004,A,Original,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,15.773712090390383,30.199999999999932,,0.0,False,,results/phase4c/formal/map8/seed_21004/A_original/attempt_01
map8,21004,A,Original,2,38,2,0.0,LOOP_INSERTED event,True,True,True,True,False,ORIGINAL,23.341362892236507,44.0,,0.0,False,,results/phase4c/formal/map8/seed_21004/A_original/attempt_01
map8,21004,A,Original,3,35,3,0.0,LOOP_INSERTED event,True,True,True,True,False,ORIGINAL,30.165704627423942,69.79999999999995,,0.0,False,,results/phase4c/formal/map8/seed_21004/A_original/attempt_01
map8,21004,B,Always-Trace,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,25.835352090446463,61.299999999999955,3.49,25.835352090446463,False,,results/phase4c/formal/map8/seed_21004/B_always_trace/attempt_01
map8,21004,B,Always-Trace,2,38,2,0.0,LOOP_INSERTED event,True,True,True,True,False,ALWAYS_TRACE,24.770467937696303,94.40000000000009,12.7,24.770467937696303,False,,results/phase4c/formal/map8/seed_21004/B_always_trace/attempt_01
map8,21004,B,Always-Trace,3,35,3,0.0,LOOP_INSERTED event,True,True,True,True,False,ALWAYS_TRACE,21.760520079978573,88.0,7.56,21.760520079978573,False,,results/phase4c/formal/map8/seed_21004/B_always_trace/attempt_01
map8,21004,C,Selective,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,SELECTIVE_REPAIR,11.405363389157037,16.100000000000023,12.03,11.405363389157037,True,12.027767177513743,results/phase4c/formal/map8/seed_21004/C_selective/attempt_01
map8,21004,C,Selective,2,38,2,0.0,LOOP_INSERTED event,True,True,True,False,False,SELECTIVE_REPAIR,38.53202941563552,114.39999999999998,12.05,38.53202941563552,False,,results/phase4c/formal/map8/seed_21004/C_selective/attempt_01
map8,21004,C,Selective,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,24.17269381497982,62.69999999999982,,0.0,False,,results/phase4c/formal/map8/seed_21004/C_selective/attempt_01
map8,21005,A,Original,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,ORIGINAL,14.375879322119179,34.10000000000002,,0.0,False,,results/phase4c/formal/map8/seed_21005/A_original/attempt_01
map8,21005,A,Original,2,38,2,0.0,LOOP_INSERTED event,True,True,True,True,False,ORIGINAL,22.740656144703493,47.200000000000045,,0.0,False,,results/phase4c/formal/map8/seed_21005/A_original/attempt_01
map8,21005,A,Original,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,33.89467820559149,73.0,,0.0,False,,results/phase4c/formal/map8/seed_21005/A_original/attempt_01
map8,21005,B,Always-Trace,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,24.013667174870367,55.0,3.52,24.013667174870367,False,,results/phase4c/formal/map8/seed_21005/B_always_trace/attempt_01
map8,21005,B,Always-Trace,2,38,2,0.0,LOOP_INSERTED event,True,True,True,False,True,ALWAYS_TRACE,46.19510980175187,120.29999999999995,11.63,46.19510980175187,False,,results/phase4c/formal/map8/seed_21005/B_always_trace/attempt_01
map8,21005,B,Always-Trace,3,35,3,0.0,LOOP_INSERTED event,True,True,True,True,False,ALWAYS_TRACE,25.436968145787088,97.0,12.39,25.436968145787088,False,,results/phase4c/formal/map8/seed_21005/B_always_trace/attempt_01
