map,seed,condition,method,loop_id,loop_vertex,local_boundary_f1,local_boundary_status,local_symmetric_boundary_distance_mean_m,local_distance_status,local_observed_coverage
radish_mexico,21002,A,Original,5,58,0.0,AVAILABLE,1.8077195208068353,AVAILABLE,0.9716924056678873
radish_mexico,21002,A,Original,6,166,0.0,AVAILABLE,1.4456295007858362,AVAILABLE,0.9871362160096797
radish_mexico,21002,A,Original,7,87,0.0008960573476702509,AVAILABLE,1.499467036028463,AVAILABLE,0.9784456684389825
radish_mexico,21002,A,Original,8,106,0.08526764566556135,AVAILABLE,1.6632660142817177,AVAILABLE,0.996306438260205
radish_mexico,21002,A,Original,9,100,0.07814411644759545,AVAILABLE,1.202700539900435,AVAILABLE,0.9047952620518372
radish_mexico,21002,A,Original,10,64,0.09995615957913197,AVAILABLE,1.5155561174312941,AVAILABLE,0.848218550004776
radish_mexico,21002,A,Original,11,65,0.25266637527833896,AVAILABLE,0.8108616445593106,AVAILABLE,0.7596242636522846
radish_mexico,21002,B,Always-Trace,1,59,0.15970675626891784,AVAILABLE,0.9224015988940952,AVAILABLE,0.9376213978665817
radish_mexico,21002,B,Always-Trace,2,41,0.0,AVAILABLE,2.207540606338446,AVAILABLE,0.9549724548610006
radish_mexico,21002,B,Always-Trace,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21002,B,Always-Trace,4,69,0.0,AVAILABLE,1.4710485125987989,AVAILABLE,0.9788263762855415
radish_mexico,21002,B,Always-Trace,5,58,0.0,AVAILABLE,1.8006136063743448,AVAILABLE,0.9712784588441331
radish_mexico,21002,B,Always-Trace,6,166,0.0,AVAILABLE,1.401603504889528,AVAILABLE,0.9755460739985989
radish_mexico,21002,B,Always-Trace,7,87,0.0008514261387824606,AVAILABLE,1.552047365070035,AVAILABLE,0.9745932694450635
radish_mexico,21002,B,Always-Trace,8,106,0.10546924195413486,AVAILABLE,1.485857359540523,AVAILABLE,0.9488632745335286
radish_mexico,21002,B,Always-Trace,9,100,0.06765189765700345,AVAILABLE,1.3026688333650536,AVAILABLE,0.8443291090874355
