map,seed,condition,method,loop_id,loop_vertex,target_attributable,active_loop_distance_m,active_loop_time_s,local_boundary_f1,local_symmetric_boundary_distance_mean_m,local_observed_coverage
map8,21004,C,Selective,3,35,False,24.17269381497982,62.69999999999982,0.4479038645363922,0.4564010538971598,0.9988503859418624
map8,21004,A,Original,2,38,True,23.341362892236507,44.0,1.0,0.1154201335709018,0.9308113489298159
map8,21004,B,Always-Trace,2,38,True,24.770467937696303,94.40000000000009,0.8280064829821717,0.14946255793287816,0.9342956694873071
map8,21004,C,Selective,2,38,False,38.53202941563552,114.39999999999998,0.8517288532916586,0.12315414922812257,0.9329683092749295
map8,21005,A,Original,1,20,False,14.375879322119179,34.10000000000002,0.9244769990566561,0.11308625286503479,0.9179551122194514
map8,21005,B,Always-Trace,1,20,False,24.013667174870367,55.0,0.8363903414470133,0.10527002107905395,0.912718204488778
map8,21005,C,Selective,1,20,False,8.9273712708103,12.299999999999955,0.8542519326966803,0.08299189661417632,0.9236076475477972
map8,21005,A,Original,3,35,False,33.89467820559149,73.0,0.19836639439906653,0.2647453283955584,0.984726556084743
map8,21005,B,Always-Trace,3,35,True,25.436968145787088,97.0,0.6262626262626263,0.1645126733044931,0.9868615536212842
map8,21005,C,Selective,3,35,False,28.559698563558097,73.09999999999991,0.5713417413766905,0.22977644106663903,0.9894071276071604
map8,21005,A,Original,2,38,True,22.740656144703493,47.200000000000045,0.8359999999999999,0.13994730012779072,0.9337149493943919
map8,21005,B,Always-Trace,2,38,False,46.19510980175187,120.29999999999995,1.0,0.09616888251636968,0.9338808694209391
map8,21005,C,Selective,2,38,True,25.301504616111234,34.299999999999955,0.7303010890454835,0.15398807947795545,0.9321387091421934
radish_mexico,21001,A,Original,2,41,False,,,0.0,2.1507926509013267,0.9608954558481674
radish_mexico,21001,B,Always-Trace,2,41,False,,,0.0,2.2761053233958197,0.9635703595197911
radish_mexico,21001,C,Selective,2,41,False,,,0.0,2.072106432000135,0.9556411807789065
radish_mexico,21001,A,Original,5,58,False,,,0.014837295565671892,1.6978389799722262,0.9699729342461392
radish_mexico,21001,B,Always-Trace,5,58,False,,,0.0,1.8193437807675519,0.9779334500875657
radish_mexico,21001,C,Selective,5,58,False,,,0.0016273393002441008,1.7246044536530087,0.9627129437987582
radish_mexico,21001,A,Original,1,59,False,,,0.13689752936411503,1.0587203209192497,0.9698137239293106
radish_mexico,21001,B,Always-Trace,1,59,False,,,0.16725199355451803,0.9034866565039794,0.9400413946823755
radish_mexico,21001,C,Selective,1,59,False,,,0.12391202397322884,1.0948164386406964,0.9554529533513771
radish_mexico,21001,A,Original,10,64,False,,,0.09669609079445146,1.615143189684083,0.8653484891903079
radish_mexico,21001,B,Always-Trace,10,64,False,,,0.09335142845272881,1.492480345388504,0.8170471550928137
radish_mexico,21001,C,Selective,10,64,False,,,0.08577670781091273,1.6244197496325647,0.8204221988728627
radish_mexico,21001,A,Original,11,65,False,,,0.23585134398253482,0.6287092085675186,0.7377806081834103
radish_mexico,21001,B,Always-Trace,11,65,False,,,0.2121071660331881,0.9216150486922547,0.6177997134214297
radish_mexico,21001,C,Selective,11,65,False,,,0.17897631630714472,0.8179293490898638,0.5787295016717083
radish_mexico,21001,A,Original,4,69,False,,,0.0,1.5007811148170145,0.9840481421339192
radish_mexico,21001,B,Always-Trace,4,69,False,,,0.0,1.480662613006238,0.9809596586748177
radish_mexico,21001,C,Selective,4,69,False,,,0.0,1.4941770484326775,0.9776164549304295
radish_mexico,21001,A,Original,3,82,False,,,0.0,,1.0
radish_mexico,21001,B,Always-Trace,3,82,False,,,0.0,,1.0
radish_mexico,21001,C,Selective,3,82,False,,,0.0,,1.0
radish_mexico,21001,A,Original,7,87,False,,,0.000859106529209622,1.7774532725197778,0.9844948899996816
radish_mexico,21001,B,Always-Trace,7,87,False,,,0.002611818478615736,1.557952349232611,0.9737654812314942
radish_mexico,21001,C,Selective,7,87,False,,,0.0,1.7295182383540042,0.9794963227100513
radish_mexico,21001,A,Original,9,100,False,,,0.17537865846714495,1.070841457922332,0.8966439533847036
radish_mexico,21001,B,Always-Trace,9,100,False,,,0.12241411111434701,1.2007303738691764,0.8493918359549131
radish_mexico,21001,C,Selective,9,100,False,,,0.1435845828720942,1.1459360691722669,0.8516207094185825
radish_mexico,21001,A,Original,8,106,False,,,0.12034041356027571,1.4893712212465937,0.9587021588231548
radish_mexico,21001,B,Always-Trace,8,106,False,,,0.08906496580746975,1.5400534962588879,0.9471120168120741
radish_mexico,21001,C,Selective,8,106,False,,,0.09581233577476231,1.5014069228493376,0.9523021078774756
radish_mexico,21001,A,Original,6,166,False,,,0.0,1.596768420928292,0.9921034197287143
radish_mexico,21001,B,Always-Trace,6,166,False,,,0.0,1.423683559458547,0.9642743424823282
radish_mexico,21001,C,Selective,6,166,False,,,0.0,1.5912427100916422,0.9915939629370184
radish_mexico,21002,A,Original,2,41,False,,,0.0,2.186303690079714,0.9561506862401682
radish_mexico,21002,B,Always-Trace,2,41,False,,,0.0,2.207540606338446,0.9549724548610006
radish_mexico,21002,C,Selective,2,41,False,,,0.0,2.1793707744040285,0.9526478361939942
radish_mexico,21002,A,Original,5,58,False,,,0.0,1.8077195208068353,0.9716924056678873
radish_mexico,21002,B,Always-Trace,5,58,False,,,0.0,1.8006136063743448,0.9712784588441331
radish_mexico,21002,C,Selective,5,58,False,,,0.0,1.799817500229623,0.40082789364750837
radish_mexico,21002,A,Original,1,59,False,,,0.11016766820608528,0.9553697947881459,0.9215729979302659
radish_mexico,21002,B,Always-Trace,1,59,False,,,0.15970675626891784,0.9224015988940952,0.9376213978665817
radish_mexico,21002,C,Selective,1,59,False,,,0.032367080774905986,1.1654124587678893,0.7661837287056201
radish_mexico,21002,A,Original,10,64,False,,,0.09995615957913197,1.5155561174312941,0.848218550004776
