map,seed,condition,method,validity,run_dir,planned_active_loops,executed_active_loops,target_attributable_loops,target_realization_rate,temporally_associated_events,passive_or_unrelated_events,active_loop_distance_m,active_loop_time_s,total_exploration_distance_m,total_exploration_sim_time_s,total_exploration_wall_time_s,wall_sim_ratio,repair_count,no_repair_count,early_stop_count,actual_generated_repair_length_m,actual_executed_repair_length_m,avoided_nominal_repair_path_length_lower_bound_m,avoided_path_interpretation,ape_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_deg,boundary_f1,symmetric_boundary_distance_mean_m,symmetric_boundary_distance_median_m,symmetric_boundary_distance_p95_m,occupied_iou,local_boundary_f1_mean,local_symmetric_boundary_distance_mean_m,local_observed_coverage_mean
map8,21002,C,Selective,VALID,results/phase4c/formal/map8/seed_21002/C_selective/attempt_02,3,3,1,0.3333333333333333,2,0,52.89700539105224,137.79999999999984,753.0618685658055,1452.1,1452.667562468,1.0003908563239445,2,1,2,22.22,40.67990949476622,14.028850221870856,geometric lower bound; not observed counterfactual travel,0.085834,0.036568,0.196656,0.6159777210699289,0.2038328186853971,0.16,0.48,0.11929463878850821,0.5945647684821656,0.23459024090425673,0.9426330597382718
map8,21003,A,Original,VALID,results/phase4c/formal/map8/seed_21003/A_original/attempt_01,3,3,1,0.3333333333333333,1,2,57.23795600268838,137.20000000000005,752.4686021213882,1430.9,1431.0284025820001,1.0000897355384724,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,0.108662,0.035006,0.177136,0.6057069773276745,0.20038885074798085,0.16,0.48,0.136383340910773,0.6820581546630956,0.15613246633157477,0.9455943312658155
map8,21003,B,Always-Trace,VALID,results/phase4c/formal/map8/seed_21003/B_always_trace/attempt_01,3,3,0,0.0,2,2,124.53279114358516,331.4999999999998,809.8980211906827,1656.8,1656.8982045720004,1.0000592736431677,3,0,0,29.3,124.53279114358516,0.0,geometric lower bound; not observed counterfactual travel,0.149552,0.030933,0.163991,0.6027607635147488,0.19505865386142673,0.16,0.48,0.13395135227079435,0.7347570537651569,0.17678933340204864,0.9498405975729951
map8,21003,C,Selective,VALID,results/phase4c/formal/map8/seed_21003/C_selective/attempt_01,3,3,1,0.3333333333333333,1,0,55.57609681509156,115.40000000000009,727.6823576018498,1405.8,1405.9030721060008,1.000073319181961,2,1,2,20.5,36.16495492652586,16.333054040706987,geometric lower bound; not observed counterfactual travel,0.152886,0.031988,0.183652,0.5461778504267958,0.21295009305687274,0.16,0.52,0.12573841439657987,0.6144922930355643,0.186553592910896,0.9436508489361999
map8,21004,A,Original,VALID,results/phase4c/formal/map8/seed_21004/A_original/attempt_01,3,3,2,0.6666666666666666,0,2,69.28077961005083,143.9999999999999,701.4016543098825,1361.0,1361.4731958620014,1.0003476824849387,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,0.102795,0.029541,0.178018,0.6734082015191403,0.18037636072715602,0.16,0.48,0.13494233867548547,0.8953790503326373,0.1359550563138523,0.9442983249741962
map8,21004,B,Always-Trace,VALID,results/phase4c/formal/map8/seed_21004/B_always_trace/attempt_01,3,3,2,0.6666666666666666,0,2,72.36634010812134,243.70000000000005,772.1054300694968,1577.1000000000001,1577.5646580970006,1.0002946281764,3,0,0,23.75,72.36634010812134,0.0,geometric lower bound; not observed counterfactual travel,0.17954,0.029517,0.176473,0.6332497253247285,0.19617783175154724,0.16,0.4897056274847714,0.1204036204036204,0.6379801536878981,0.1815522509596498,0.9413507287967185
map8,21004,C,Selective,VALID,results/phase4c/formal/map8/seed_21004/C_selective/attempt_01,3,3,0,0.0,1,1,74.11008661977237,193.19999999999982,721.7481692808088,1369.1999999999998,1369.3970782769993,1.0001439368076246,2,1,1,24.08,49.93739280479256,12.027767177513743,geometric lower bound; not observed counterfactual travel,0.238372,0.029256,0.257163,0.5497619076142074,0.21714319543156807,0.16,0.52,0.12381672018974456,0.7123847334931194,0.23051300406243644,0.9505896066350238
map8,21005,A,Original,VALID,results/phase4c/formal/map8/seed_21005/A_original/attempt_01,3,3,1,0.3333333333333333,1,0,71.01121367241416,154.30000000000007,727.3349565862202,1388.1999999999998,1388.576905549,1.0002715066625847,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,0.144062,0.031821,0.19648,0.560106262259414,0.21069505373920452,0.16,0.52,0.12662731801247437,0.6529477978185741,0.17259296046279463,0.945465539232862
map8,21005,B,Always-Trace,VALID,results/phase4c/formal/map8/seed_21005/B_always_trace/attempt_01,3,3,1,0.3333333333333333,1,1,95.64574512240932,272.29999999999995,721.5910871332061,1460.0,1461.0433950629995,1.0007146541527394,3,0,0,27.540000000000003,95.64574512240932,0.0,geometric lower bound; not observed counterfactual travel,0.10278,0.031146,0.177476,0.6158489581138847,0.19126013744305514,0.16,0.48,0.13168576000678248,0.82088432256988,0.12198385896663892,0.9444868758436672
map8,21005,C,Selective,VALID,results/phase4c/formal/map8/seed_21005/C_selective/attempt_01,3,3,1,0.3333333333333333,1,1,62.78857445047963,119.69999999999982,718.6795597779512,1406.0,1406.4992974360011,1.0003551190867719,2,1,2,24.08,34.228875886921536,24.08040547831679,geometric lower bound; not observed counterfactual travel,0.172268,0.029788,0.284289,0.5857206714893199,0.21571463737956353,0.16,0.56,0.13573988195615513,0.7186315877062848,0.15558547238625695,0.9483844947657171
